106-98-9    1butene
64-19-7     acacid
67-64-1     acetone
1           air
7664-41-7   ammonia
7440-37-1   argon
71-43-2     benzene
106-97-8    butane
1120-21-4   c11
112-40-3    c12
108-87-2    c1cc6
590-18-1    c2butene
1678-92-8   c3cc6
2314-97-8   cf3i
7782-50-5   cl2
630-08-0    co
124-38-9    co2
463-58-1    cos
110-82-7    cyclohex
287-92-3    cyclopen
75-19-4     cyclopro
7782-39-0   d2
7789-20-0   d2o
556-67-2    d4
541-02-6    d5
540-97-6    d6
111-42-2    dea
124-18-5    decane
60-29-7     dee
616-38-6    dmc
115-10-6    dme
100-41-4    ebenzene
1300-21-6   edc
74-84-0     ethane
64-17-5     ethanol
74-85-1     ethylene
75-21-8     etyoxide
7782-41-4   fluorine
7783-06-4   h2s
7647-01-0   hcl
7440-59-7   helium
142-82-5    heptane
110-54-3    hexane
1333-74-0   hydrogen
115-11-7    ibutene
107-83-5    ihexane
540-84-1    ioctane
78-78-4     ipentane
75-28-5     isobutan
7439-90-9   krypton
141-43-5    mea
141-62-8    md2m
141-63-9    md3m
107-52-8    md4m
107-51-7    mdm
74-82-8     methane
67-56-1     methanol
112-63-0    mlinolea
301-00-8    mlinolen
107-46-0    mm
112-62-9    moleate
112-39-0    mpalmita
112-61-8    mstearat
108-38-3    mxylene
10024-97-2  n2o
7440-01-9   neon
463-82-1    neopentn
7783-54-2   nf3
7727-37-9   nitrogen
111-84-2    nonane
111-65-9    octane
1333-74-0o  orthohyd
7782-44-7   oxygen
95-47-6     oxylene
1333-74-0p  parahyd
109-66-0    pentane
74-98-6     propane
115-07-1    propylen
74-99-7     propyne
106-42-3    pxylene
75-69-4     r11
76-13-1     r113
76-14-2     r114
76-15-3     r115
76-16-4     r116
75-71-8     r12
116-15-4    r1216
306-83-2    r123
102687-65-0 r1233zd
754-12-1    r1234yf
29118-24-9  r1234ze
2837-89-0   r124
354-33-6    r125
75-72-9     r13
811-97-2    r134a
75-73-0     r14
1717-00-6   r141b
75-68-3     r142b
420-46-2    r143a
75-37-6     r152a
353-36-6    r161
75-43-4     r21
76-19-7     r218
75-45-6     r22
431-89-0    r227ea
75-46-7     r23
431-63-0    r236ea
690-39-1    r236fa
679-86-7    r245ca
460-73-1    r245fa
75-10-5     r32
406-58-6    r365mfc
74-87-3     r40
593-53-3    r41
115-25-3    rc318
421-14-7    re143a
22410-44-2  re245cb2
1885-48-9   re245fa2
375-03-1    re347mcc
2551-62-4   sf6
7446-09-5   so2
624-64-6    t2butene
108-88-3    toluene
75-01-4     vnychlrd
7732-18-5   water
7440-63-3   xenon
